stag,event,gender,age,industry,profesi,traffic,coach,head_gender,greywage,way,extraversion,independ,selfcontrol,anxiety,novator,profession
7.030800821,1,m,35,Banks,HR,rabrecNErab,no,f,white,bus,6.2,4.1,5.7,7.1,8.3,HR
22.9650924,1,m,33,Banks,HR,empjs,no,m,white,bus,6.2,4.1,5.7,7.1,8.3,HR
15.93429158,1,f,35,PowerGeneration,HR,rabrecNErab,no,m,white,bus,6.2,6.2,2.6,4.8,8.3,HR
15.93429158,1,f,35,PowerGeneration,HR,rabrecNErab,no,m,white,bus,5.4,7.6,4.9,2.5,6.7,HR
8.410677618,1,m,32,Retail,Commercial,youjs,yes,f,white,bus,3,4.1,8,7.1,3.7,Non-HR
8.969199179,1,f,42,manufacture,HR,empjs,yes,m,white,bus,6.2,6.2,4.1,5.6,6.7,HR
8.969199179,1,f,42,manufacture,HR,empjs,yes,m,white,bus,6.2,6.2,4.1,5.6,6.7,HR
120.4435318,1,f,28,Retail,HR,referal,no,m,white,bus,3.8,5.5,8,4,4.4,HR
8.607802875,1,f,29,Banks,HR,empjs,no,f,white,bus,8.6,6.9,2.6,4,7.5,HR
4.435318275,1,f,30,Consult,Marketing,youjs,yes,m,white,bus,5.4,5.5,3.3,7.9,8.3,Non-HR
67.35112936,1,f,40,manufacture,HR,rabrecNErab,no,m,white,car,8.6,4.1,1.8,7.1,6.7,HR
20.92813142,1,m,23,Banks,HR,referal,yes,m,white,bus,3,6.9,4.9,4.8,7.5,HR
20.92813142,1,f,22,Consult,HR,rabrecNErab,my head,f,white,foot,5.4,8.4,4.9,3.3,6,HR
8.936344969,1,f,24,State,etc,advert,yes,f,white,foot,7,6.2,4.1,7.1,9,Non-HR
33.57700205,1,f,25,etc,HR,KA,my head,f,white,foot,9.4,1.2,4.1,5.6,6.7,HR
16.39425051,1,f,28,Building,HR,youjs,no,m,white,car,8.6,5.5,4.9,4.8,5.2,HR
15.34291581,1,f,30,Banks,HR,rabrecNErab,no,m,white,bus,5.4,5.5,3.3,4.8,6.7,HR
26.4476386,1,f,27,IT,Sales,referal,yes,m,white,bus,5.4,6.9,2.6,5.6,8.3,Non-HR
14.71868583,1,f,36,Banks,HR,referal,yes,f,grey,bus,5.4,6.9,3.3,3.3,7.5,HR
45.37166324,1,f,29,etc,HR,referal,no,m,white,bus,7.8,6.2,6.4,7.9,6,HR
45.37166324,1,f,29,etc,HR,referal,no,m,white,bus,3.8,3.4,5.7,8.7,7.5,HR
36.96098563,1,f,48,State,BusinessDevelopment,empjs,no,f,white,bus,4.6,6.2,4.9,5.6,6.7,Non-HR
22.47227926,1,f,29,Banks,Finanñe,KA,no,f,white,car,7.8,4.8,5.7,7.1,6,Non-HR
59.20328542,1,f,25,Banks,HR,recNErab,yes,f,white,bus,5.4,4.8,7.2,5.6,5.2,HR
59.20328542,1,f,25,Banks,HR,recNErab,yes,f,white,bus,4.6,4.1,8.7,5.6,2.1,HR
12.38603696,1,f,36,Banks,Finanñe,rabrecNErab,no,m,white,car,7.8,6.9,3.3,3.3,7.5,Non-HR
24.3449692,1,f,36,Retail,HR,rabrecNErab,my head,m,white,bus,7.8,2.6,5.7,7.1,5.2,HR
11.95893224,1,m,29,Banks,HR,rabrecNErab,no,f,white,car,3.8,1.9,9.5,7.9,3.7,HR
3.252566735,1,f,35, HoReCa,HR,empjs,my head,f,white,bus,3,7.6,7.2,4,7.5,HR
3.252566735,1,f,35, HoReCa,HR,empjs,my head,f,white,bus,1.4,8.4,8,4.8,6,HR
14.58726899,1,f,21,Telecom,Sales,rabrecNErab,yes,f,white,bus,8.6,4.1,4.9,5.6,6,Non-HR
16.91991786,1,m,35,etc,Sales,youjs,no,m,white,car,4.6,3.4,4.1,8.7,4.4,Non-HR
28.15605749,1,f,25,etc,etc,referal,my head,f,white,bus,3.8,6.9,6.4,7.1,7.5,Non-HR
60.94455852,1,f,30.40033257,Retail,HR,youjs,no,m,white,bus,7,6.2,4.1,2.5,6.7,HR
87.68788501,1,f,29,Consult,HR,rabrecNErab,no,f,white,bus,7,6.2,4.1,4,9,HR
43.4661191,1,f,22,Pharma,HR,rabrecNErab,no,m,white,bus,3,4.1,8.7,7.1,6,HR
22.73511294,1,f,34,Retail,HR,KA,no,m,white,car,5.4,5.5,4.9,4.8,4.4,HR
22.73511294,1,f,34,Retail,HR,KA,no,m,white,car,6.2,6.2,4.9,3.3,2.9,HR
22.73511294,1,f,34,Retail,HR,KA,no,m,white,car,5.4,5.5,4.9,4.8,4.4,HR
22.73511294,1,f,34,Retail,HR,KA,no,m,white,car,6.2,6.2,4.9,3.3,2.9,HR
13.07597536,1,f,21,etc,HR,empjs,no,f,white,bus,5.4,7.6,4.9,3.3,2.1,HR
7.589322382,1,f,22,etc,HR,youjs,yes,f,grey,car,7,4.8,6.4,4,4.4,HR
36.23819302,1,f,32,Retail,HR,youjs,no,m,white,car,3,7.6,7.2,4.8,2.9,HR
19.08829569,1,f,36,Pharma,etc,empjs,no,f,white,car,4.6,7.6,5.7,5.6,8.3,Non-HR
4.369609856,1,f,30,Banks,HR,youjs,no,m,white,bus,6.2,3.4,8,3.3,3.7,HR
80.98562628,1,f,32,Retail,HR,rabrecNErab,my head,m,white,bus,3.8,6.2,8,4,6,HR
9.100616016,1,f,33,Retail,HR,empjs,no,m,white,car,7,4.8,4.1,7.1,8.3,HR
36.92813142,1,f,49,State,BusinessDevelopment,empjs,my head,f,white,bus,4.6,6.2,4.9,5.6,6.7,Non-HR
3.975359343,1,f,29,Retail,HR,empjs,yes,m,white,bus,7.8,5.5,5.7,4,5.2,HR
3.975359343,1,f,29,Retail,HR,empjs,yes,m,white,bus,6.2,6.2,5.7,6.3,2.9,HR
3.975359343,1,f,29,Retail,HR,empjs,yes,m,white,bus,7,6.2,5.7,4,3.7,HR
7.589322382,1,m,36,Mining,HR,empjs,no,m,white,foot,4.6,4.8,7.2,6.3,7.5,HR
95.21149897,1,f,22,State,Teaching,advert,my head,m,white,bus,8.6,4.8,4.9,4,6.7,Non-HR
41.69199179,1,f,21,transport,HR,empjs,yes,f,white,foot,7.8,5.5,2.6,7.1,9,HR
14.9486653,1,f,25,Retail,HR,empjs,no,f,white,bus,8.6,6.2,3.3,6.3,6,HR
50.72689938,1,m,38,manufacture,HR,rabrecNErab,no,m,white,car,6.2,3.4,7.2,6.3,3.7,HR
50.72689938,1,m,38,manufacture,HR,rabrecNErab,no,m,white,car,7,5.5,5.7,6.3,6,HR
35.28542094,1,f,23,Consult,HR,empjs,yes,f,white,bus,10,4.8,4.1,5.6,8.3,HR
35.28542094,1,f,23,Consult,HR,empjs,yes,f,white,bus,8.6,4.8,4.1,6.3,9,HR
35.94250513,1,m,38,Banks,BusinessDevelopment,recNErab,no,m,white,car,8.6,3.4,6.4,4,6,Non-HR
15.57289528,1,f,24,Retail,HR,youjs,no,f,white,foot,6.2,7.6,3.3,3.3,6.7,HR
15.57289528,1,f,24,Retail,HR,youjs,no,f,white,foot,6.2,7.6,3.3,3.3,6.7,HR
52.96098563,1,f,36,manufacture,HR,rabrecNErab,my head,m,white,car,4.6,4.1,8,5.6,6,HR
7.819301848,1,f,21,State,Sales,advert,my head,m,grey,bus,4.6,5.5,7.2,3.3,5.2,Non-HR
81.83983573,1,f,29,Telecom,HR,rabrecNErab,my head,f,white,foot,3.8,6.9,6.4,5.6,8.3,HR
55.72073922,1,f,29,Banks,HR,empjs,my head,f,white,bus,7,6.2,4.1,4,4.4,HR
4.336755647,1,f,26,manufacture,HR,referal,no,f,white,car,3.8,4.8,5.7,7.9,2.9,HR
18.95687885,1,m,36,etc,manage,rabrecNErab,my head,m,white,car,6.2,4.1,6.4,6.3,5.2,Non-HR
18.95687885,1,m,36,etc,manage,rabrecNErab,my head,m,white,car,8.6,2.6,7.2,4.8,4.4,Non-HR
53.81519507,1,f,30.40033257,State,Teaching,recNErab,no,m,white,foot,4.6,9.1,4.1,4,6,Non-HR
90.51334702,1,f,22,State,HR,referal,my head,f,white,bus,6.2,5.5,3.3,6.3,6.7,HR
40.57494867,1,m,29,Banks,Marketing,rabrecNErab,no,f,white,bus,6.2,4.8,6.4,5.6,5.2,Non-HR
59.49897331,1,f,23,State,Teaching,advert,no,f,white,bus,7,5.5,3.3,6.3,5.2,Non-HR
6.603696099,1,m,22,manufacture,manage,advert,no,f,white,foot,7.8,5.5,1,9.4,9,Non-HR
44.78028747,1,f,36,etc,HR,rabrecNErab,no,m,white,bus,7.8,4.8,4.9,5.6,9,HR
6.669404517,1,m,27,State,Teaching,rabrecNErab,no,f,white,bus,6.2,5.5,6.4,4,4.4,Non-HR
15.70431211,0,f,34,Retail,HR,empjs,no,f,white,car,8.6,5.5,4.1,5.6,6.7,HR
15.70431211,0,f,34,Retail,HR,empjs,no,f,white,car,8.6,3.4,4.1,7.1,6,HR
15.70431211,0,f,34,Retail,HR,empjs,no,f,white,car,7.8,4.1,4.1,7.1,6.7,HR
59.20328542,1,f,25,Banks,HR,recNErab,no,f,white,bus,5.4,4.8,7.2,5.6,5.2,HR
59.20328542,1,f,25,Banks,HR,recNErab,no,f,white,bus,4.6,4.1,8.7,5.6,2.1,HR
17.3798768,1,f,24,Consult,HR,rabrecNErab,no,f,white,bus,5.4,6.9,4.9,4,6.7,HR
38.86652977,1,f,27,Retail,etc,referal,yes,m,white,bus,5.4,6.9,2.6,5.6,8.3,Non-HR
7.950718686,1,f,34,Banks,BusinessDevelopment,KA,my head,m,white,car,7,6.2,7.2,2.5,5.2,Non-HR
7.950718686,1,f,34,Banks,BusinessDevelopment,KA,my head,m,white,car,8.6,6.9,5.7,3.3,4.4,Non-HR
96.52566735,1,f,24,IT,HR,KA,no,f,white,bus,6.2,4.8,7.2,4,6.7,HR
86.53798768,1,f,23,State,Teaching,referal,yes,f,white,bus,3.8,6.9,8,1.7,2.1,Non-HR
52.862423,1,f,38,Telecom,HR,youjs,no,m,white,car,4.6,5.5,7.2,6.3,7.5,HR
17.57700205,1,f,25,Banks,HR,empjs,no,m,white,bus,6.2,6.2,5.7,5.6,7.5,HR
17.57700205,1,f,25,Banks,HR,empjs,no,m,white,bus,6.2,7.6,4.1,4.8,9,HR
25.06776181,1,f,28,manufacture,HR,youjs,my head,m,white,bus,6.2,4.8,4.1,4,6.7,HR
86.83367556,1,f,29,manufacture,HR,rabrecNErab,my head,f,white,car,7,5.5,1.8,6.3,6,HR
13.10882957,1,m,26,etc,Commercial,rabrecNErab,no,m,white,car,6.2,4.1,4.9,6.3,2.9,Non-HR
26.18480493,1,m,21,etc,Marketing,referal,no,m,white,bus,4.6,6.9,4.1,5.6,6,Non-HR
9.626283368,1,f,25,Consult,HR,youjs,my head,f,white,bus,5.4,6.9,5.7,3.3,2.9,HR
9.889117043,1,f,25,Consult,HR,youjs,my head,f,white,bus,5.4,6.9,5.7,3.3,2.9,HR
3.351129363,1,f,24,Consult,HR,youjs,no,f,white,bus,4.6,6.9,5.7,5.6,2.9,HR
15.3100616,1,f,31,State,HR,rabrecNErab,no,m,grey,bus,2.2,1,8,8.7,3.7,HR
80.06570842,1,f,45,Retail,HR,empjs,no,f,white,bus,3,5.5,10,6.3,2.9,HR
16.78850103,1,f,21,etc,etc,rabrecNErab,my head,f,white,bus,7,6.9,5.7,4,5.2,Non-HR
19.44969199,1,f,22,etc,HR,youjs,my head,f,white,bus,5.4,6.2,4.1,8.7,8.3,HR
9.034907598,1,f,37,Mining,Commercial,KA,yes,m,white,bus,3.8,7.6,4.9,7.1,9,Non-HR
18.49691992,1,f,32,etc,HR,empjs,my head,m,white,bus,7.8,6.2,3.3,4,8.3,HR
53.19096509,1,f,37,manufacture,HR,rabrecNErab,my head,m,white,bus,7,4.8,5.7,6.3,8.3,HR
42.57905544,1,f,30,Retail,HR,KA,no,f,white,bus,6.2,6.2,5.7,5.6,8.3,HR
23.6550308,1,f,37,transport,HR,youjs,no,m,white,bus,6.2,5.5,5.7,6.3,9,HR
41.29774127,1,f,22,Pharma,HR,rabrecNErab,no,m,white,bus,3.8,1.9,8.7,6.3,4.4,HR
41.29774127,1,f,22,Pharma,HR,rabrecNErab,no,m,white,bus,5.4,2.6,8,7.1,5.2,HR
123.3347023,1,f,22,Banks,IT,referal,my head,m,white,bus,4.6,4.8,6.4,7.1,6,Non-HR
123.3347023,1,f,22,Banks,IT,referal,my head,m,white,bus,4.6,6.2,6.4,4,6.7,Non-HR
13.17453799,1,m,28,Telecom,IT,rabrecNErab,no,m,white,car,8.6,6.2,1,5.6,6.7,Non-HR
13.17453799,1,m,28,Telecom,IT,rabrecNErab,no,m,white,car,7,6.2,2.6,5.6,8.3,Non-HR
14.85010267,1,m,25,manufacture,HR,empjs,my head,f,white,car,6.2,5.5,5.7,5.6,4.4,HR
24.24640657,1,f,23,Building,Marketing,rabrecNErab,my head,f,white,bus,3.8,7.6,7.2,2.5,4.4,Non-HR
12.09034908,1,m,25,Building,HR,youjs,yes,f,white,bus,7,4.8,4.9,5.6,6,HR
11.49897331,1,f,26,Banks,HR,youjs,no,f,white,bus,4.6,6.2,5.7,4,6,HR
11.49897331,1,f,26,Banks,HR,youjs,no,f,white,bus,4.6,5.5,6.4,5.6,5.2,HR
27.36755647,1,m,30,Retail,Sales,youjs,no,m,white,car,7,4.8,1.8,8.7,6.7,Non-HR
15.54004107,1,m,38,IT,IT,referal,no,m,white,car,6.2,4.1,1.8,8.7,8.3,Non-HR
4.960985626,1,f,37,State,Marketing,recNErab,no,f,white,foot,9.4,4.1,4.9,4,8.3,Non-HR
19.8110883,1,f,26,Agriculture,Law,rabrecNErab,no,m,grey,bus,5.4,4.8,8.7,5.6,2.9,Non-HR
103.3921971,1,f,27,Banks,HR,youjs,no,f,white,car,3.8,4.8,9.5,6.3,3.7,HR
3.975359343,1,f,29,Retail,etc,empjs,no,m,white,bus,7.8,5.5,5.7,4,5.2,Non-HR
3.975359343,1,f,29,Retail,etc,empjs,no,m,white,bus,6.2,6.2,5.7,6.3,2.9,Non-HR
3.975359343,1,f,29,Retail,etc,empjs,no,m,white,bus,7,6.2,5.7,4,3.7,Non-HR
70.93223819,1,f,26,manufacture,HR,rabrecNErab,no,m,white,bus,3.8,5.5,8.7,3.3,3.7,HR
70.93223819,1,f,26,manufacture,HR,rabrecNErab,no,m,white,bus,3,6.9,6.4,3.3,2.9,HR
51.94250513,1,f,49,manufacture,HR,empjs,my head,m,white,bus,6.2,8.4,3.3,3.3,6,HR
38.76796715,1,m,21,Banks,HR,recNErab,yes,f,white,foot,7.8,6.2,2.6,5.6,9,HR
38.76796715,1,m,21,Banks,HR,recNErab,yes,f,white,foot,7,3.4,3.3,7.1,8.3,HR
34.95687885,1,m,26,Mining,HR,empjs,yes,f,white,car,4.6,3.4,8.7,7.9,7.5,HR
49.3798768,1,f,22,etc,Marketing,rabrecNErab,no,f,grey,car,5.4,6.9,6.4,4,4.4,Non-HR
25.65913758,1,m,51,Retail,etc,referal,no,m,white,car,3,5.5,9.5,5.6,5.2,Non-HR
50.72689938,1,f,28,manufacture,Finanñe,rabrecNErab,no,m,white,car,7.8,3.4,6.4,4,4.4,Non-HR
22.07802875,1,m,52,Consult,Consult,rabrecNErab,no,m,white,foot,3,9.1,4.9,6.3,6.7,Non-HR
11.07186858,1,f,43,Pharma,HR,youjs,my head,f,white,car,4.6,5.5,3.3,7.9,7.5,HR
50.59548255,1,f,44,manufacture,HR,rabrecNErab,no,m,grey,car,7,6.9,4.9,3.3,6,HR
17.41273101,1,f,45,manufacture,Engineer,rabrecNErab,my head,f,white,bus,3.8,4.1,7.2,5.6,3.7,Non-HR
24.41067762,1,f,27,Building,HR,rabrecNErab,no,f,white,bus,3.8,9.8,4.1,4,9,HR
23.88501027,1,f,26,Retail,HR,youjs,my head,f,white,bus,7,5.5,4.1,4.8,7.5,HR
20.04106776,1,f,25,manufacture,HR,advert,yes,f,white,car,9.4,3.4,1.8,8.7,7.5,HR
150.9979466,1,f,19,Banks,HR,advert,yes,m,white,foot,7,3.4,5.7,7.9,6.7,HR
10.7761807,1,f,31,etc,HR,rabrecNErab,no,m,white,bus,9.4,3.4,1,8.7,9.8,HR
78.68583162,1,f,31,Banks,HR,rabrecNErab,no,f,grey,bus,3.8,4.1,7.2,8.7,2.1,HR
78.68583162,1,f,31,Banks,HR,rabrecNErab,no,f,grey,bus,3.8,4.1,7.2,8.7,2.1,HR
81.18275154,1,f,31,RealEstate,HR,referal,my head,f,white,bus,6.2,4.8,8.7,6.3,5.2,HR
13.40451745,1,f,30.40033257,etc,HR,youjs,no,f,white,bus,6.2,4.1,6.4,6.3,1,HR
13.40451745,1,f,30.40033257,etc,HR,youjs,no,f,white,bus,7,6.9,4.1,6.3,3.7,HR
142.4558522,1,f,18,Retail,HR,advert,no,f,white,bus,6.2,5.5,6.4,4.8,5.2,HR
10.94045175,1,m,33,IT,Consult,youjs,yes,m,white,car,3,10,5.7,6.3,8.3,Non-HR
12.05749487,1,f,36,Retail,Sales,youjs,no,m,white,bus,5.4,4.8,4.9,4.8,6,Non-HR
54.07802875,1,f,31,etc,HR,empjs,my head,m,white,car,3,5.5,7.2,5.6,6,HR
5.650924025,1,f,45,IT,HR,rabrecNErab,no,m,white,car,7.8,4.8,4.1,4,6,HR
19.84394251,1,f,29,Retail,HR,empjs,my head,f,white,car,8.6,6.9,4.9,3.3,6,HR
79.86858316,1,m,23,Banks,HR,rabrecNErab,no,f,white,bus,5.4,5.5,5.7,8.7,5.2,HR
8.772073922,1,f,27,Retail,HR,rabrecNErab,my head,f,white,car,6.2,4.8,6.4,6.3,2.9,HR
19.18685832,1,f,22,Retail,Sales,youjs,yes,m,grey,bus,8.6,4.1,4.9,4.8,5.2,Non-HR
7.589322382,1,m,47,manufacture,Commercial,empjs,no,m,grey,bus,3.8,1.9,8.7,8.7,2.1,Non-HR
7.589322382,1,m,47,manufacture,Commercial,empjs,no,m,grey,bus,4.6,4.1,5.7,9.4,3.7,Non-HR
7.589322382,1,m,47,manufacture,Commercial,empjs,no,m,grey,bus,3,5.5,4.9,9.4,4.4,Non-HR
10.84188912,1,f,30.40033257,Consult,HR,youjs,no,m,white,bus,7.8,5.5,4.9,7.1,6,HR
51.08829569,1,f,28,transport,HR,rabrecNErab,my head,f,white,car,4.6,6.9,4.9,4,6,HR
128.0657084,0,f,43,manufacture,HR,rabrecNErab,my head,m,white,bus,4.6,7.6,4.9,5.6,6,HR
28.35318275,1,m,26,Consult,Consult,referal,no,f,white,bus,8.6,5.5,4.1,7.1,6.7,Non-HR
4.533880903,1,f,31,Retail,Sales,KA,no,f,grey,bus,5.4,5.5,7.2,4.8,1.3,Non-HR
17.93839836,1,m,24,Retail,HR,empjs,my head,f,grey,bus,4.6,7.6,6.4,4.8,6.7,HR
23.45790554,1,f,27,Building,HR,rabrecNErab,no,f,white,bus,3.8,9.8,4.1,4,9,HR
16.22997947,1,m,35,Retail,HR,rabrecNErab,no,m,white,car,6.2,5.5,5.7,4,2.9,HR
16.22997947,1,m,35,Retail,HR,rabrecNErab,no,m,white,car,7,4.8,2.6,5.6,6,HR
71.2936345,1,f,31,PowerGeneration,HR,youjs,my head,f,white,car,5.4,4.1,6.4,4.8,4.4,HR
9.527720739,1,m,23,IT,HR,empjs,no,f,white,bus,7,4.1,6.4,4.8,5.2,HR
17.01848049,1,f,40,Banks,Sales,advert,my head,f,white,car,5.4,4.1,4.9,6.3,7.5,Non-HR
130.9897331,1,f,31,IT,HR,KA,no,m,white,bus,5.4,6.9,3.3,4,8.3,HR
37.09240246,1,f,37,etc,HR,youjs,yes,f,white,bus,6.2,6.2,6.4,5.6,5.2,HR
0.427104723,1,f,24,IT,HR,youjs,yes,f,white,bus,8.6,4.1,4.9,3.3,6,HR
12.8788501,1,f,23,Building,HR,empjs,no,f,grey,bus,5.4,8.4,4.1,4.8,6,HR
12.8788501,1,f,23,Building,HR,empjs,no,f,grey,bus,7.8,5.5,4.1,4.8,5.2,HR
8.147843943,1,f,46,RealEstate,HR,rabrecNErab,no,m,white,car,4.6,7.6,6.4,4,6,HR
7.326488706,1,f,23,Consult,Marketing,youjs,yes,f,white,bus,6.2,4.8,5.7,3.3,3.7,Non-HR
17.93839836,1,f,40,IT,HR,empjs,yes,m,white,bus,3,8.4,7.2,4.8,8.3,HR
14.6201232,1,m,39,manufacture,Engineer,recNErab,no,m,white,car,3.8,4.8,5.7,7.9,3.7,Non-HR
16,1,f,28,Retail,HR,youjs,no,f,white,car,3,5.5,6.4,5.6,3.7,HR
32.45995893,1,m,40,etc,HR,empjs,yes,m,white,car,5.4,3.4,5.7,7.9,9.8,HR
73.49486653,1,m,33,Retail,Finanñe,rabrecNErab,no,f,white,bus,2.2,6.2,6.4,6.3,5.2,Non-HR
73.49486653,1,m,33,Retail,Finanñe,rabrecNErab,no,f,white,bus,3.8,4.1,8,6.3,4.4,Non-HR
11.8275154,1,f,24,Banks,HR,referal,no,f,white,foot,7.8,6.2,4.9,1.7,3.7,HR
46.35728953,1,f,38,Retail,HR,rabrecNErab,no,m,white,bus,6.2,4.1,4.9,5.6,6.7,HR
52.50102669,1,m,35,manufacture,BusinessDevelopment,rabrecNErab,no,m,white,car,5.4,4.8,4.1,7.9,7.5,Non-HR
14.98151951,1,f,33,manufacture,HR,referal,my head,m,white,car,4.6,4.8,7.2,7.9,6,HR
26.21765914,1,f,36,etc,HR,empjs,no,m,white,foot,3,6.9,6.4,4.8,6,HR
26.21765914,1,f,36,etc,HR,empjs,no,m,white,foot,2.2,6.9,8,6.3,3.7,HR
26.21765914,1,f,36,etc,HR,empjs,no,m,white,foot,3,6.9,7.2,4.8,5.2,HR
29.07597536,1,f,22,etc,HR,youjs,yes,f,white,bus,9.4,4.1,4.1,4.8,9,HR
33.3798768,1,f,38,manufacture,HR,rabrecNErab,no,m,white,bus,7.8,2.6,5.7,7.1,5.2,HR
5.848049281,1,f,23,Banks,HR,rabrecNErab,yes,f,white,bus,4.6,6.9,7.2,5.6,4.4,HR
5.848049281,1,f,23,Banks,HR,rabrecNErab,yes,f,white,bus,6.2,4.8,4.9,4.8,3.7,HR
77.53593429,1,f,24,etc,Sales,rabrecNErab,my head,f,white,bus,6.2,5.5,5.7,3.3,2.1,Non-HR
166.275154,1,m,26,Retail,Sales,recNErab,no,m,white,car,3,5.5,5.7,7.1,6.7,Non-HR
107.1704312,1,f,33,etc,etc,advert,no,m,white,bus,5.4,1,9.5,9.4,5.2,Non-HR
19.44969199,1,f,40,Banks,HR,empjs,yes,f,grey,bus,6.2,3.4,8,3.3,3.7,HR
8.640657084,1,f,23,manufacture,manage,KA,no,f,white,car,3.8,4.1,8.7,4,2.9,Non-HR
13.66735113,1,f,27,Retail,HR,youjs,no,m,white,car,8.6,4.8,7.2,4,3.7,HR
6.275154004,1,f,24,PowerGeneration,Sales,empjs,my head,f,white,bus,5.4,6.2,4.1,6.3,9.8,Non-HR
23.19507187,1,f,30,Banks,HR,rabrecNErab,no,f,white,car,5.4,7.6,2.6,5.6,6,HR
16.32854209,1,f,37,Pharma,etc,empjs,no,f,white,car,4.6,7.6,5.7,5.6,8.3,Non-HR
26.11909651,1,f,31,manufacture,HR,rabrecNErab,no,m,grey,bus,3,7.6,4.9,5.6,5.2,HR
35.38398357,1,f,31,Retail,HR,KA,no,m,white,bus,3.8,10,3.3,3.3,6.7,HR
25.98767967,1,f,23,IT,HR,youjs,my head,f,white,bus,1.4,2.6,9.5,8.7,2.1,HR
3.58110883,1,f,40,Banks,HR,empjs,no,f,white,bus,7.8,5.5,2.6,6.3,8.3,HR
3.58110883,1,f,40,Banks,HR,empjs,no,f,white,bus,8.6,5.5,3.3,6.3,7.5,HR
3.58110883,1,f,40,Banks,HR,empjs,no,f,white,bus,7,6.9,4.1,5.6,7.5,HR
1.708418891,1,f,37,etc,Marketing,youjs,no,f,white,bus,4.6,2.6,8.7,4,2.9,Non-HR
25.23203285,1,f,30,Retail,Sales,youjs,no,f,white,bus,4.6,2.6,7.2,6.3,5.2,Non-HR
13.8973306,1,f,38,State,Teaching,referal,no,f,white,foot,3,9.1,4.1,4.8,6,Non-HR
63.11293634,1,m,32,Mining,Law,rabrecNErab,no,f,white,bus,3,4.8,4.1,7.1,7.5,Non-HR
11.30184805,1,f,34,Building,Marketing,referal,no,m,grey,car,9.4,3.4,4.9,3.3,6,Non-HR
11.69609856,1,f,25,manufacture,HR,youjs,my head,f,grey,car,3,4.8,7.2,7.9,5.2,HR
11.69609856,1,f,25,manufacture,HR,youjs,my head,f,grey,car,3,5.5,5.7,7.1,5.2,HR
30.22587269,0,m,33,Retail,HR,empjs,my head,f,white,car,4.6,6.2,8,7.1,5.2,HR
30.22587269,0,m,33,Retail,HR,empjs,my head,f,white,car,5.4,7.6,5.7,7.1,6,HR
38.01232033,0,m,33,Retail,HR,rabrecNErab,my head,m,white,car,3,4.1,8,7.1,3.7,HR
21.61806982,1,m,37,manufacture,manage,rabrecNErab,no,m,grey,bus,3.8,4.8,4.9,7.1,6.7,Non-HR
39.06365503,1,f,31,manufacture,HR,rabrecNErab,my head,f,white,bus,6.2,4.8,4.1,4.8,5.2,HR
